id,title,description,availability,condition,price,link,image_link,brand,category
1,iPhone 16 Pro Max 256GB,"Premium smartphone with advanced camera system and titanium design.",in stock,new,22999 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1695048133142-1a20484d2569?auto=format&fit=crop&w=900&q=80,Apple,Phones
2,Samsung Galaxy S25 Ultra,"Flagship Android phone with S Pen, bright display and versatile cameras.",in stock,new,21499 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?auto=format&fit=crop&w=900&q=80,Samsung,Phones
3,MacBook Air 13-inch,"Thin and lightweight laptop for everyday work, study and creative tasks.",in stock,new,18999 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?auto=format&fit=crop&w=900&q=80,Apple,Computers
4,AirPods Pro,"Wireless earbuds with active noise cancellation and charging case.",in stock,new,4499 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?auto=format&fit=crop&w=900&q=80,Apple,Audio
5,JBL Portable Speaker,"Powerful portable Bluetooth speaker with durable travel-friendly design.",in stock,new,3299 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?auto=format&fit=crop&w=900&q=80,JBL,Audio
6,Apple Watch,"Smart watch for activity tracking notifications and everyday health insights.",in stock,new,8999 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1551816230-ef5deaed4a26?auto=format&fit=crop&w=900&q=80,Apple,Wearables
7,Eufy Outdoor Security Camera,"Wireless outdoor security camera with clear video and smart detection.",in stock,new,4999 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1557324232-b8917d3c3dcb?auto=format&fit=crop&w=900&q=80,Eufy,Security
8,Indoor Wi-Fi Camera,"Compact indoor camera with phone monitoring alerts and night vision.",in stock,new,1299 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1585771724684-38269d6639fd?auto=format&fit=crop&w=900&q=80,Generic,Security
9,UniFi Wi-Fi 7 Access Point,"High-performance ceiling access point for modern homes and businesses.",in stock,new,4799 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1606420187127-2b39e831cdd0?auto=format&fit=crop&w=900&q=80,Ubiquiti,Networking
10,Wi-Fi 6 Router,"Fast dual-band Wi-Fi router for reliable home internet coverage.",in stock,new,2199 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?auto=format&fit=crop&w=900&q=80,Generic,Networking
11,"20,000mAh Power Bank","Large-capacity portable power bank with multiple charging outputs.",in stock,new,899 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?auto=format&fit=crop&w=900&q=80,Generic,Accessories
12,65W USB-C Fast Charger,"Compact high-power charger for compatible phones tablets and laptops.",in stock,new,699 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?auto=format&fit=crop&w=900&q=80,Generic,Accessories
13,HDMI 2.1 Cable 2m,"High-speed HDMI cable suitable for 4K displays consoles and media devices.",in stock,new,299 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1625842268584-8f3296236761?auto=format&fit=crop&w=900&q=80,Generic,Accessories
14,Mechanical Gaming Keyboard,"Responsive mechanical keyboard with backlighting for work and gaming.",in stock,new,1299 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1587829741301-dc798b83add3?auto=format&fit=crop&w=900&q=80,Generic,Computers
15,Wireless Mouse,"Comfortable wireless mouse with quiet clicks and long battery life.",in stock,new,399 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?auto=format&fit=crop&w=900&q=80,Generic,Computers
16,Smart LED Bulb,"App-controlled colour LED bulb for convenient home lighting.",in stock,new,180 MVR,https://naskhu.github.io/myShop/,https://images.unsplash.com/photo-1550985616-10810253b84d?auto=format&fit=crop&w=900&q=80,Generic,Smart Home
